vps,domain,datum,id_status
vps1021,4leafclover.nl,2016-10-01,1
vps1021,acetrains.com,2016-10-01,1
vps1021,aja.nl,2016-10-01,1
vps1021,amsterdam-duursport.nl,2016-10-01,1
vps1021,aofbv.nl,2016-10-01,1
vps1021,aquapelle.nl,2016-10-01,1
vps1021,aquilus.org,2016-10-01,1
vps1021,arjanmesman.nl,2016-10-01,1
vps1021,austral.nl,2016-10-01,1
vps1021,baby-talk.nl,2016-10-01,1
vps1021,babyinzicht.nl,2016-10-01,1
vps1021,bank-computers.nl,2016-10-01,1
vps1021,beleefwieringen.nl,2016-10-01,1
vps1021,boerenvreugd.nl,2016-10-01,1
vps1021,bootweekend.vision4all.nl,2016-10-01,1
vps1021,bsvv.nl,2016-10-01,1
vps1021,bugfree.be,2016-10-01,1
vps1021,bureauplesse.nl,2016-10-01,1
vps1021,careerpartner.nl,2016-10-01,1
vps1021,carlahorsten.nl,2016-10-01,1
vps1021,censschadeservice.nl,2016-10-01,1
vps1021,compstore.nl,2016-10-01,1
vps1021,cornerman.net,2016-10-01,1
vps1021,darstaed.com,2016-10-01,1
vps1021,dealers.doubledutch.eu,2016-10-01,1
vps1021,deblauwereiger-veere.nl,2016-10-01,1
vps1021,debruinafbouw.nl,2016-10-01,1
vps1021,dejongkeukens.nl,2016-10-01,1
vps1021,dekleinepol.nl,2016-10-01,1
vps1021,dekraai.vision4all.nl,2016-10-01,1
vps1021,devogelpot.de,2016-10-01,1
vps1021,dewislot.cornerman.net,2016-10-01,1
vps1021,doubledutch.eu,2016-10-01,1
vps1021,eewolff.nl,2016-10-01,1
vps1021,elslaunspach.nl,2016-10-01,1
vps1021,emmz.nl,2016-10-01,1
vps1021,englisch.nl,2016-10-01,1
vps1021,enquete.volleybalclubsassenheim.nl,2016-10-01,1
vps1021,enzymplex.nl,2016-10-01,1
vps1021,fashion4all.nl,2016-10-01,1
vps1021,feest.werumeusbuning.nl,2016-10-01,1
vps1021,foodles.nl,2016-10-01,1
vps1021,fotoz.halsema.eu,2016-10-01,1
vps1021,fullinsight.com,2016-10-01,1
vps1021,galerieambergkerk.nl,2016-10-01,1
vps1021,gemakgroep.nl,2016-10-01,1
vps1021,glamourland.be,2016-10-01,1
vps1021,goedecommunicatie.com,2016-10-01,1
vps1021,goldielocks.tv,2016-10-01,1
vps1021,goudaquint.nl,2016-10-01,1
vps1021,goudswaard.nu,2016-10-01,1
vps1021,groenehartcentrum.nl,2016-10-01,1
vps1021,halsema.eu,2016-10-01,1
vps1021,hamsterypurehonesty.nl,2016-10-01,1
vps1021,hetinkoopcollectief.nl,2016-10-01,1
vps1021,hetstrandhuismilligerplas.nl,2016-10-01,1
vps1021,hofmakers.nl,2016-10-01,1
vps1021,innovationindustries.org,2016-10-01,1
vps1021,interactivewall.overeen.nl,2016-10-01,1
vps1021,interim-finance.net,2016-10-01,1
vps1021,issues.volleybalclubsassenheim.nl,2016-10-01,1
vps1021,itfits-forecasting.com,2016-10-01,1
vps1021,janveen.nl,2016-10-01,1
vps1021,jeepee-center.nl,2016-10-01,1
vps1021,jimgijbels.nl,2016-10-01,1
vps1021,joviart.nl,2016-10-01,1
vps1021,juliavanadrichem.nl,2016-10-01,1
vps1021,just-incase.nl,2016-10-01,1
vps1021,kapdesign.nl,2016-10-01,1
vps1021,kasiagatkowska.com,2016-10-01,1
vps1021,koersen.bsvv.nl,2016-10-01,1
vps1021,kostertuininterieur.nl,2016-10-01,1
vps1021,kruiveem.nl,2016-10-01,1
vps1021,lelieveld-makelaardij.nl,2016-10-01,1
vps1021,leonartmail.com.leonarto.nl,2016-10-01,1
vps1021,leonarto.nl,2016-10-01,1
vps1021,lineair.be,2016-10-01,1
vps1021,loekweijts.nl,2016-10-01,1
vps1021,lotsofdesign.nl,2016-10-01,1
vps1021,lucienotto.nl,2016-10-01,1
vps1021,maartenschets.nl,2016-10-01,1
vps1021,marcotheunissen.nl,2016-10-01,1
vps1021,mariannebogman.nl,2016-10-01,1
vps1021,merelstraat.be,2016-10-01,1
vps1021,merkensmakelaardij.nl,2016-10-01,1
vps1021,mhs.vision4all.nl,2016-10-01,1
vps1021,mindbreeze.nl,2016-10-01,1
vps1021,minis.volleybalclubsassenheim.nl,2016-10-01,1
vps1021,miomio.nl,2016-10-01,1
vps1021,mona-konings-design.com,2016-10-01,1
vps1021,naaiatelier-schaartje.nl,2016-10-01,1
vps1021,new.joviart.nl,2016-10-01,1
vps1021,nlp-coach.nl,2016-10-01,1
vps1021,noordams.nl,2016-10-01,1
vps1021,oldenhof.info,2016-10-01,1
vps1021,only-jeep.jeepee-center.nl,2016-10-01,1
vps1021,oreik.nl,2016-10-01,1
vps1021,overeen.nl,2016-10-01,1
vps1021,parafarm.nl,2016-10-01,1
vps1021,parochiealphenriel.nl,2016-10-01,1
vps1021,pelvic.nl,2016-10-01,1
vps1021,pharmeta.nl,2016-10-01,1
vps1021,praktijkvangrinsven.nl,2016-10-01,1
vps1021,purejewel.nl,2016-10-01,1
vps1021,regts.com,2016-10-01,1
vps1021,ridewithpride.nl,2016-10-01,1
vps1021,rondehoep.nl,2016-10-01,1
vps1021,scholing.overeen.nl,2016-10-01,1
vps1021,schoorlemmer.nu,2016-10-01,1
vps1021,shop.ventec.nl,2016-10-01,1
vps1021,slandswelvaeren.com,2016-10-01,1
vps1021,solarfarming.overeen.nl,2016-10-01,1
vps1021,spoor-c.nl,2016-10-01,1
vps1021,stemkens.com,2016-10-01,1
vps1021,streekbelangen.nl,2016-10-01,1
vps1021,sub.kruiveem.nl,2016-10-01,1
vps1021,subsidie.gemakgroep.nl,2016-10-01,1
vps1021,synergetis.nl,2016-10-01,1
vps1021,synergy-mg.nl,2016-10-01,1
vps1021,test.kapdesign.nl,2016-10-01,1
